Azores_native_total;Azores_native_GenBank;Azores_native_BOLD;Azores_NIS_total;Azores_NIS_GenBank;Azores_NIS_BOLD
Abludomelita obtusata;Abludomelita obtusata;Abludomelita obtusata;Amathia gracilis;Amathia gracilis;Amphibalanus amphitrite
Abra alba;Abra alba;Abra alba;Amathia verticillata;Amathia verticillata;Amphibalanus eburneus
Acanella arbuscula;Acanella arbuscula;Acanella arbuscula;Amphibalanus amphitrite;Amphibalanus amphitrite;Amphibalanus improvisus
Acanthephyra eximia;Acanthephyra eximia;Acanthephyra eximia;Amphibalanus eburneus;Amphibalanus eburneus;Ascidia interrupta
Acanthephyra pelagica;Acanthephyra pelagica;Acanthephyra pelagica;Amphibalanus improvisus;Amphibalanus improvisus;Balanus trigonus
Acanthephyra purpurea;Acanthephyra purpurea;Acanthephyra purpurea;Aplus dorbignyi;Aplus dorbignyi;Botryllus schlosseri
Acanthogorgia armata;Acanthogorgia armata;Acanthonyx brevifrons;Ascidia interrupta;Ascidia interrupta;Bugula neritina
Acanthonyx brevifrons;Acanthonyx brevifrons;Acanthonyx lunulatus;Balanus trigonus;Balanus trigonus;Bugulina stolonifera
Acanthonyx lunulatus;Acanthonyx lunulatus;Acesta excavata;Botryllus schlosseri;Botryllus schlosseri;Caprella scaura
Acesta excavata;Acesta excavata;Actinia equina;Bugula neritina;Bugula neritina;Cinachyrella alloclada
Actinia equina;Actinia equina;Aeolidiella sanguinea;Bugulina simplex;Bugulina simplex;Ciona intestinalis
Aeolidiella sanguinea;Aeolidiella sanguinea;Aequipecten opercularis;Bugulina stolonifera;Bugulina stolonifera;Clavelina lepadiformis
Aequipecten opercularis;Aequipecten opercularis;Aglaophenia pluma;Caprella scaura;Caprella scaura;Clavelina oblonga
Aglaophenia pluma;Aglaophenia pluma;Aglaura hemistoma;Cinachyrella alloclada;Cinachyrella alloclada;Cystodytes dellechiajei
Aglaura hemistoma;Aglaura hemistoma;Aiptasia mutabilis;Ciona intestinalis;Ciona intestinalis;Ectopleura crocea
Aiptasia mutabilis;Aiptasia mutabilis;Akera bullata;Clavelina lepadiformis;Clavelina lepadiformis;Eudistoma angolanum
Akera bullata;Akera bullata;Alcyonium glomeratum;Clavelina oblonga;Clavelina oblonga;Hexaplex trunculus
Alcyonium glomeratum;Alpheus bouvieri;Alpheus bouvieri;Cystodytes dellechiajei;Cystodytes dellechiajei;Hiatella arctica
Alpheus bouvieri;Alpheus dentipes;Alpheus macrocheles;Ectopleura crocea;Ectopleura crocea;Hydroides elegans
