phylum_name;species_name;lat;lon;country;province_state;region;sector;exactsite
Echinodermata;Asterias rubens;54,148;7,9;North Sea;;Tiefe Rinne;;
Echinodermata;Asterias rubens;60,37;2,478;North Sea;;Box M;;
Echinodermata;Asterias rubens;60,37;2,478;North Sea;;Box M;;
Echinodermata;Asterias rubens;54,37;7,088;North Sea;;Box A;;
Echinodermata;Asterias rubens;55,352;-0,128;North Sea;;Box B, Station 637;;
Echinodermata;Asterias rubens;44,974;-66,91;Canada;New Brunswick;St. Andrews;;Spruce Island
Echinodermata;Asterias rubens;44,974;-66,91;Canada;New Brunswick;St. Andrews;;Spruce Island
Echinodermata;Asterias rubens;44,974;-66,91;Canada;New Brunswick;St. Andrews;;Spruce Island
Echinodermata;Asterias rubens;45,0687;-67,0402;Canada;New Brunswick;St Andrews;Indian Point;under rock
Echinodermata;Asterias rubens;45,0687;-67,0402;Canada;New Brunswick;St Andrews;Indian Point;under rock
Echinodermata;Asterias rubens;45,0687;-67,0402;Canada;New Brunswick;St Andrews;Indian Point;under rock
Echinodermata;Asterias rubens;45,0687;-67,0402;Canada;New Brunswick;St Andrews;Indian Point;under rock
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;NA;NA;;;;;
Echinodermata;Asterias rubens;66,55;33,11;Russia;;;;
Echinodermata;Asterias rubens;66,54;33,13;Russia;;;;
Echinodermata;Asterias rubens;66,55;33,16;Russia;;;;
Mollusca;Acesta excavata;NA;NA;Norway;;;;
Mollusca;Acesta excavata;NA;NA;Norway;;;;
Mollusca;Acesta excavata;NA;NA;Norway;;;;
Mollusca;Acesta excavata;NA;NA;Norway;;;;
Mollusca;Acesta excavata;NA;NA;Norway;;;;
Echinodermata;Asterias rubens;44,6397;-63,9296;Canada;Nova Scotia;Halifax Regional Municipality;Glen Haven;39 Sunset Drive B3Z
Mollusca;Acesta excavata;60,169;5,17;Norway;;;;
Mollusca;Acesta excavata;58,999;10,65;Norway;;;;
Mollusca;Acesta excavata;63,653;9,764;Norway;;;;
Mollusca;Acesta excavata;63,6531;9,76397;Norway;;Trondelag, Trondheim;;Agdenesflua
Mollusca;Acesta excavata;63,6529;9,76623;Norway;;Trondelag, Trondheim;;Agdenesflua
Mollusca;Acesta excavata;65,9294;6,52997;Norway;;;;
