;species;Gap_analysis
1;Acanella arbuscula;TRUE
2;Acanthocardia tuberculata;TRUE
3;Acanthochitona crinita;TRUE
4;Acanthochitona fascicularis;FALSE
5;Acanthochitona subrubicunda;FALSE
6;Acanthogorgia armata;TRUE
7;Acanthonyx lunulatus;TRUE
8;Acar clathrata;FALSE
9;Acrobelesia cooperi;FALSE
10;Acteon monterosatoi;FALSE
11;Actinia equina;TRUE
12;Actinia mediterranea;FALSE
13;Actinia nigropunctata;FALSE
14;Actinoscyphia aurelia;FALSE
15;Actinoscyphia saginata;FALSE
16;Actinostella flosculifera;FALSE
17;Actinothoe sphyrodeta;TRUE
18;Adamsia palliata;TRUE
19;Adamsia rondeletii;FALSE
20;Aegina citrea;TRUE
21;Aequipecten commutatus;FALSE
22;Agauopsis pteropes;FALSE
23;Aglaophenia pluma;TRUE
24;Aglaophenia tubulifera;FALSE
25;Aiptasia mutabilis;TRUE
26;Aiptasiogeton hyalinus;TRUE
27;Akera silbo;FALSE
28;Akritogyra similis;FALSE
29;Aldisa expleta;FALSE
30;Alicia mirabilis;TRUE
31;Allogramma formosa;FALSE
32;Alvania canariensis;FALSE
33;Alvania cancapae;FALSE
34;Alvania cancellata;FALSE
35;Alvania crystallina;FALSE
36;Alvania grancanariensis;FALSE
37;Alvania guancha;FALSE
38;Alvania johannae;FALSE
39;Alvania joseae;FALSE
40;Alvania leacocki;FALSE
41;Alvania multiquadrata;FALSE
42;Alvania piersmai;FALSE
43;Alvania slieringsi;FALSE
44;Alvania subcalathus;FALSE
45;Alvania tenera;FALSE
46;Alvania watsoni;FALSE
47;Ammonicera fischeriana;FALSE
48;Ammonicera lignea;FALSE
49;Ammonicera multistriata;FALSE
50;Amphianthus dohrnii;FALSE
51;Amphibalanus amphitrite;TRUE
52;Amphionides reynaudii;TRUE
53;Amphiute paulini;FALSE
54;Anachis avaroides;FALSE
55;Anadara gibbosa;FALSE
56;Anapagurus pusillus;FALSE
57;Anasimus latus;FALSE
58;Anatoma aspera;FALSE
59;Anatoma tenuis;FALSE
60;Anatoma umbilicata;FALSE
61;Anemonactis mazeli;FALSE
62;Anemonia melanaster;FALSE
63;Anemonia sargassensis;FALSE
64;Anemonia sulcata;TRUE
65;Anemonia viridis;TRUE
66;Angiola lineata;FALSE
67;Anomia ephippium;TRUE
68;Anomocora fecunda;FALSE
69;Anomocora prolifera;FALSE
70;Antalis vulgaris;TRUE
71;Anthopleura ballii;TRUE
72;Anthopleura thallia;FALSE
73;Anthothoe affinis;FALSE
74;Antipathella wollastoni;FALSE
75;Antipathes lenta;FALSE
76;Aplus assimilis;FALSE
77;Aplysia dactylomela;FALSE
78;Aplysia punctata;TRUE
79;Aplysilla sulfurea;TRUE
80;Aplysina aerophoba;TRUE
81;Apohyale media;FALSE
