;species;Gap_analysis
1;Abietinaria abietina;TRUE
2;Abralia (Asteroteuthis) veranyi;FALSE
3;Acanthocardia aculeata;FALSE
4;Acanthocardia echinata;FALSE
5;Acanthocardia tuberculata;TRUE
6;Acanthochitona fascicularis;FALSE
7;Acanthogorgia armata;TRUE
8;Acanthonyx brevifrons;FALSE
9;Acartia (Acartia) negligens;FALSE
10;Aclis latior;FALSE
11;Aclis trilineata;FALSE
12;Aclis vitrea;FALSE
13;Actinia cari;FALSE
14;Actinia equina;TRUE
15;Actinia mediterranea;FALSE
16;Actinia mesembryantheum;FALSE
17;Actinia nigropunctata;FALSE
18;Adamsia palliata;TRUE
19;Aequipecten commutatus;FALSE
20;Aequipecten opercularis;TRUE
21;Agetus flaccus;FALSE
22;Aglaophenia picardi;FALSE
23;Aglaophenia pluma;TRUE
24;Aglaophenia tubulifera;FALSE
25;Aiptasia couchii;TRUE
26;Aiptasia mutabilis;TRUE
27;Aiptasiogeton hyalinus;TRUE
28;Albunea carabus;FALSE
29;Alicia mirabilis;TRUE
30;Alvania canariensis;FALSE
31;Alvania cancellata;FALSE
32;Alvania crystallina;FALSE
33;Alvania euchila;FALSE
34;Alvania leacocki;FALSE
35;Alvania macandrewi;FALSE
36;Alvania moniziana;FALSE
37;Alvania watsoni;FALSE
38;Amaea retifera;FALSE
39;Amblyosyllis madeirensis;FALSE
40;Ammonicera fischeriana;FALSE
41;Ammonicera lignea;FALSE
42;Ammonicera rota;FALSE
43;Ammonicera rotundata;FALSE
44;Amphiglena mediterranea;FALSE
45;Anachis avaroides;FALSE
46;Anemonia melanaster;FALSE
47;Anemonia sulcata;TRUE
48;Anemonia viridis;TRUE
49;Angiola lineata;FALSE
50;Antedon bifida;TRUE
51;Antho (Antho) mediterranea;FALSE
52;Antho (Antho) paradoxa;FALSE
53;Anthopleura ballii;TRUE
54;Anthopleura thallia;FALSE
55;Anthothoe affinis;FALSE
56;Antipathella wollastoni;FALSE
57;Antipathes fragilis;FALSE
58;Antipathes furcata;TRUE
59;Antipathozoanthus macaronesicus;TRUE
60;Aplysina aerophoba;TRUE
61;Apohyale media;FALSE
62;Apohyale perieri;FALSE
63;Apohyale stebbingi;FALSE
64;Arbacia lixula;TRUE
65;Architeuthis dux;TRUE
66;Arcopella balaustina;FALSE
67;Asbjornsenia pygmaea;FALSE
68;Ascobulla fragilis;FALSE
69;Asterias amurensis;TRUE
70;Astrea reussiana;FALSE
71;Astrea turonensis;FALSE
72;Astropecten aranciacus;FALSE
73;Athanas nitescens;TRUE
74;Atlanta brunnea;FALSE
75;Atrina fragilis;TRUE
76;Azorinus chamasolen;FALSE
77;Balssia gasti;FALSE
78;Bela nebula;FALSE
79;Bittium incile;FALSE
80;Bittium latreillii;FALSE
81;Bolitaena pygmaea;FALSE
82;Bosemprella incarnata;FALSE
83;Botryphallus epidauricus;FALSE
84;Botulus microporus;TRUE
85;Bractechlamys corallinoides;FALSE
86;Bubaris vermiculata;FALSE
87;Buffonellaria jensi;FALSE
88;Bunodeopsis pelagica;FALSE
89;Bursa scrobilator;FALSE
90;Cadulus jeffreysi;FALSE
91;Caecum armoricum;FALSE
92;Caecum atlantidis;FALSE
93;Caecum clarkii;FALSE
94;Caecum elegantissimum;FALSE
95;Caecum engli;FALSE
96;Calliactis parasitica;TRUE
97;Calliostoma granulatum;TRUE
98;Calliostoma lusitanicum;FALSE
99;Callista chione;TRUE
100;Callyspongia (Callyspongia) burtoni;FALSE
101;Caminus vulcani;FALSE
102;Campanularia hincksii;TRUE
103;Campecopea lusitanica;FALSE
104;Cancer bellianus;FALSE
105;Candidella imbricata;FALSE
106;Cardiomya costellata;TRUE
107;Cardita calyculata;TRUE
108;Caryophyllia (Caryophyllia) abyssorum;FALSE
109;Caryophyllia (Caryophyllia) alberti;FALSE
110;Caryophyllia (Caryophyllia) sarsiae;FALSE
111;Caryophyllia arcuata;FALSE
112;Cavolinia gibbosa;FALSE
113;Cerithiopsis scalaris;FALSE
114;Chama gryphoides;TRUE
115;Chauvetia affinis;FALSE
116;Chorizopora rosaria;FALSE
117;Chthamalus stellatus;TRUE
118;Cima cylindrica;FALSE
119;Cima minima;FALSE
120;Cinetorhynchus rigens;FALSE
121;Cladocora debilis;FALSE
122;Clanculus berthelotii;FALSE
123;Clausocalanus arcuicornis;TRUE
124;Clausocalanus furcatus;TRUE
125;Clausocalanus pergens;FALSE
126;Clibanarius aequabilis;FALSE
127;Cliona celata;TRUE
128;Columbella adansoni;FALSE
129;Comarmondia gracilis;FALSE
130;Condylonucula bicornis;FALSE
131;Copilia quadrata;FALSE
132;Coronellina atlantica;FALSE
133;Corycaeus clausi;FALSE
134;Corynactis viridis;TRUE
135;Coscinasterias tenuispina;FALSE
136;Costulopsis buzzurroi;FALSE
137;Crenella pellucida;FALSE
138;Creseis acicula;FALSE
139;Crinophtheiros collinsi;FALSE
140;Crisilla cristallinula;FALSE
141;Crisilla depicta;FALSE
142;Crisilla indispecta;FALSE
143;Crisilla innominata;FALSE
144;Crisilla iunoniae;FALSE
145;Crisilla picta;FALSE
146;Crisilla postrema;FALSE
147;Crisilla spadix;FALSE
148;Ctena decussata;TRUE
149;Curveulima dautzenbergi;FALSE
150;Cuvierina atlantica;TRUE
151;Cylichna cylindracea;TRUE
152;Cymodoce emarginata;FALSE
153;Cyrillia linearis;FALSE
154;Dardanus calidus;FALSE
155;Dendrophyllia ramea;FALSE
156;Desmacella annexa;FALSE
157;Desmophyllum pertusum;TRUE
158;Diacria trispinosa;TRUE
159;Diadema africanum;FALSE
160;Diadema antillarum;FALSE
161;Diodora gibberula;TRUE
162;Diodora graeca;TRUE
163;Diopatra madeirensis;FALSE
164;Diopatra neapolitana;FALSE
165;Diplodonta rotundata;FALSE
166;Donax venustus;FALSE
167;Dosinia exoleta;TRUE
168;Dynamena crisioides;TRUE
169;Dynamene edwardsi;TRUE
170;Ebala nitidissima;FALSE
171;Ebala pointeli;FALSE
172;Ebalia fragifera;FALSE
173;Echinaster (Echinaster) sepositus;FALSE
174;Echinocyamus macrostomus;FALSE
175;Ellisella flagellum;FALSE
176;Emarginula fissura;FALSE
177;Emarginula paivana;FALSE
178;Enoploteuthis anapsis;FALSE
179;Epitonium algerianum;FALSE
180;Epitonium clathratulum;FALSE
181;Epitonium fischeri;FALSE
182;Epitonium turtonis;FALSE
183;Ervilia castanea;FALSE
184;Eulalia bilineata;TRUE
185;Eulalia viridis;TRUE
186;Eumida notata;TRUE
187;Eunicella verrucosa;TRUE
188;Euryozius bouvieri;FALSE
189;Euterpina acutifrons;TRUE
190;Farranula rostrata;FALSE
191;Favosipora purpurea;FALSE
192;Flabellum (Ulocyathus) alabastrum;FALSE
193;Flexopecten flexuosus;TRUE
194;Fossarus ambiguus;FALSE
195;Fridericia bulbosa;FALSE
196;Fungiacyathus (Fungiacyathus) fragilis;FALSE
197;Fusceulima fulva;FALSE
