;species;Gap_analysis
1;Abludomelita gladiosa;FALSE
2;Abludomelita obtusata;TRUE
3;Abra alba;TRUE
4;Abraliopsis (Abraliopsis) morisii;FALSE
5;Acanella arbuscula;TRUE
6;Acanthella erecta;FALSE
7;Acanthephyra eximia;TRUE
8;Acanthephyra pelagica;TRUE
9;Acanthephyra purpurea;TRUE
10;Acanthocardia aculeata;FALSE
11;Acanthochitona fascicularis;FALSE
12;Acanthogorgia armata;TRUE
13;Acanthogorgia hirsuta;FALSE
14;Acanthonyx brevifrons;TRUE
15;Acanthonyx lunulatus;TRUE
16;Acartia (Acartia) danae;FALSE
17;Acartia (Acartia) negligens;FALSE
18;Acesta excavata;TRUE
19;Achaeus cranchii;FALSE
20;Achaeus gracilis;FALSE
21;Achelia anomala;FALSE
22;Achelia echinata;FALSE
23;Acirsa subdecussata;FALSE
24;Acryptolaria conferta;FALSE
25;Acryptolaria crassicaulis;FALSE
26;Acryptolaria longitheca;FALSE
27;Actinia equina;TRUE
28;Actinia mediterranea;FALSE
29;Actinia sali;FALSE
30;Aegapheles deshaysiana;FALSE
31;Aegires sublaevis;FALSE
32;Aeolidiella sanguinea;TRUE
33;Aequipecten commutatus;FALSE
34;Aequipecten opercularis;TRUE
35;Aetea anguina;FALSE
36;Aetea sica;FALSE
37;Agauopsis brevipalpus;FALSE
38;Aglaophenia acacia;FALSE
39;Aglaophenia lophocarpa;FALSE
40;Aglaophenia octodonta;FALSE
41;Aglaophenia picardi;FALSE
42;Aglaophenia pluma;TRUE
43;Aglaophenia tubulifera;FALSE
44;Aglaophenopsis cartieri;FALSE
45;Aglaura hemistoma;TRUE
46;Aiptasia mutabilis;TRUE
47;Akera bullata;TRUE
48;Albunea carabus;FALSE
49;Alcyonium burmedju;FALSE
50;Alcyonium glomeratum;FALSE
51;Alcyonium maristenebrosi;FALSE
52;Aldisa binotata;FALSE
53;Alicia mirabilis;FALSE
54;Alpheopsis azorica;FALSE
55;Alpheopsis trispinosa;FALSE
56;Alpheus bouvieri;TRUE
57;Alpheus dentipes;TRUE
58;Alpheus macrocheles;TRUE
59;Alpheus platydactylus;TRUE
60;Alvania abstersa;FALSE
61;Alvania angioyi;TRUE
62;Alvania cancellata;FALSE
63;Alvania cimicoides;FALSE
64;Alvania formicarum;TRUE
65;Alvania internodula;FALSE
66;Alvania lamellata;FALSE
67;Alvania mediolittoralis;TRUE
68;Alvania platycephala;FALSE
69;Alvania poucheti;FALSE
70;Alvania sleursi;TRUE
71;Alvania tarsodes;FALSE
72;Amathia citrina;TRUE
73;Amathia lendigera;TRUE
74;Amigdoscalpellum rigidum;FALSE
75;Ammonicera fischeriana;FALSE
76;Ammonicera lignea;FALSE
