;species;Gap_analysis
1;Alloeocarpa loculosa;FALSE
2;Amathia gracilis;TRUE
3;Amathia verticillata;TRUE
4;Amphibalanus amphitrite;TRUE
5;Amphibalanus eburneus;TRUE
6;Amphibalanus improvisus;TRUE
7;Aoroides longimerus;FALSE
8;Aplus dorbignyi;TRUE
9;Ascidia interrupta;TRUE
10;Balanus trigonus;TRUE
11;Botryllus schlosseri;TRUE
12;Bougainvillia macloviana;FALSE
13;Branchiomma luctuosum;FALSE
14;Bugula neritina;TRUE
15;Bugulina simplex;TRUE
16;Bugulina stolonifera;TRUE
17;Caprella scaura;TRUE
18;Cinachyrella alloclada;TRUE
19;Ciona intestinalis;TRUE
20;Clavelina lepadiformis;TRUE
21;Clavelina oblonga;TRUE
22;Cystodytes dellechiajei;TRUE
23;Desmacella meliorata;FALSE
24;Distaplia corolla;FALSE
25;Ectopleura crocea;TRUE
26;Eudistoma angolanum;TRUE
27;Ficopomatus enigmaticus;FALSE
28;Hexaplex trunculus;TRUE
29;Hiatella arctica;TRUE
30;Hydroides elegans;TRUE
31;Kirchenpaueria halecioides;FALSE
32;Ligia oceanica;TRUE
33;Lyrodus pedicellatus;TRUE
34;Maeotias marginata;TRUE
35;Microcosmus squamiger;TRUE
36;Molgula plana;FALSE
37;Mytilus edulis;TRUE
38;Ostrea edulis;TRUE
39;Pachycerianthus solitarius;FALSE
40;Paracerceis sculpta;FALSE
41;Paraleucilla magna;FALSE
42;Percnon gibbesi;TRUE
43;Perforatus perforatus;TRUE
44;Perophora viridis;TRUE
45;Phorcus sauciatus;TRUE
46;Pinctada imbricata radiata;FALSE
47;Polyclinum aurantium;FALSE
48;Psiloteredo megotara;FALSE
49;Pyura tessellata;FALSE
50;Ruditapes decussatus;TRUE
51;Sabella spallanzanii;TRUE
52;Schizoporella errata;TRUE
53;Schizoporella unicornis;FALSE
54;Sphaeroma serratum;TRUE
55;Spirorbis (Spirorbis) marioni;FALSE
56;Styela clava;TRUE
57;Styela plicata;TRUE
58;Tricellaria inopinata;TRUE
59;Truncatella subcylindrica;TRUE
60;Tubularia indivisa;TRUE
61;Virididentula dentata;TRUE
62;Watersipora subtorquata;TRUE
;;44
