;species;Gap_analysis
1;Alloeocarpa loculosa;FALSE
2;Amathia gracilis;TRUE
3;Amathia verticillata;TRUE
4;Amphibalanus amphitrite;TRUE
5;Amphibalanus eburneus;TRUE
6;Amphibalanus improvisus;FALSE
7;Aoroides longimerus;FALSE
8;Aplus dorbignyi;FALSE
9;Ascidia interrupta;FALSE
10;Balanus trigonus;TRUE
11;Botryllus schlosseri;TRUE
12;Bougainvillia macloviana;FALSE
13;Branchiomma luctuosum;FALSE
14;Bugula neritina;TRUE
15;Bugulina simplex;FALSE
16;Bugulina stolonifera;TRUE
17;Caprella scaura;TRUE
18;Cinachyrella alloclada;TRUE
19;Ciona intestinalis;TRUE
20;Clavelina lepadiformis;TRUE
21;Clavelina oblonga;FALSE
22;Cystodytes dellechiajei;FALSE
23;Desmacella meliorata;FALSE
24;Distaplia corolla;FALSE
25;Ectopleura crocea;TRUE
26;Eudistoma angolanum;FALSE
27;Ficopomatus enigmaticus;TRUE
28;Hexaplex trunculus;FALSE
29;Hiatella arctica;TRUE
30;Hydroides elegans;TRUE
31;Kirchenpaueria halecioides;TRUE
32;Ligia oceanica;TRUE
33;Lyrodus pedicellatus;TRUE
34;Maeotias marginata;FALSE
35;Microcosmus squamiger;TRUE
36;Molgula plana;FALSE
37;Mytilus edulis;TRUE
38;Ostrea edulis;TRUE
39;Pachycerianthus solitarius;TRUE
40;Paracerceis sculpta;TRUE
41;Paraleucilla magna;TRUE
42;Percnon gibbesi;FALSE
43;Perforatus perforatus;TRUE
44;Perophora viridis;TRUE
45;Phorcus sauciatus;FALSE
46;Pinctada imbricata radiata;FALSE
47;Polyclinum aurantium;FALSE
48;Psiloteredo megotara;FALSE
49;Pyura tessellata;FALSE
50;Ruditapes decussatus;TRUE
51;Sabella spallanzanii;TRUE
52;Schizoporella errata;FALSE
53;Schizoporella unicornis;FALSE
54;Sphaeroma serratum;TRUE
55;Spirorbis (Spirorbis) marioni;FALSE
56;Styela clava;TRUE
57;Styela plicata;TRUE
58;Tricellaria inopinata;FALSE
59;Truncatella subcylindrica;FALSE
60;Tubularia indivisa;TRUE
61;Virididentula dentata;FALSE
62;Watersipora subtorquata;TRUE
;;34
