;species;Gap_analysis
1;Amathia verticillata;TRUE
2;Amphibalanus amphitrite;TRUE
3;Aplysia dactylomela;FALSE
4;Austrominius modestus;TRUE
5;Balanus trigonus;TRUE
6;Beania maxilladentata;FALSE
7;Bedeva paivae;FALSE
8;Botrylloides niger;FALSE
9;Botryllus schlosseri;TRUE
10;Branchiomma bairdi;FALSE
11;Bugula neritina;TRUE
12;Bugulina simplex;FALSE
13;Bugulina stolonifera;TRUE
14;Caprella scaura;TRUE
15;Celleporaria inaudita;FALSE
16;Clavelina dellavallei;FALSE
17;Clavelina lepadiformis;TRUE
18;Cradoscrupocellaria bertholletii;FALSE
19;Crambe crambe;TRUE
20;Didemnum perlucidum;FALSE
21;Distaplia corolla;FALSE
22;Ectopleura crocea;TRUE
23;Eudistoma angolanum;FALSE
24;Exaiptasia diaphana;TRUE
25;Haliclona (Rhizoniera) indistincta;FALSE
26;Hexaplex trunculus;FALSE
27;Kirchenpaueria halecioides;TRUE
28;Lyrodus pedicellatus;TRUE
29;Microcosmus squamiger;TRUE
30;Millepora alcicornis;FALSE
31;Mycale (Carmia) senegalensis;FALSE
32;Obelia dichotoma;TRUE
33;Paracerceis sculpta;TRUE
34;Paraleucilla magna;TRUE
35;Parasmittina alba;FALSE
36;Parasmittina multiaviculata;FALSE
37;Parasmittina protecta;FALSE
38;Pileolaria berkeleyana;FALSE
39;Pisa carinimana;FALSE
40;Psiloteredo megotara;FALSE
41;Pycnoclavella taureanensis;FALSE
42;Reptadeonella violacea;FALSE
43;Schizoporella pungens;FALSE
44;Sphaeroma walkeri;FALSE
45;Spirorbis (Spirorbis) marioni;FALSE
46;Styela canopus;TRUE
47;Symplegma brakenhielmi;FALSE
48;Tonna pennata;FALSE
49;Truncatella subcylindrica;FALSE
50;Vallicula multiformis;TRUE
51;Virididentula dentata;FALSE
52;Watersipora subtorquata;TRUE
;;21
