;species;Gap_analysis
1;Acanella arbuscula;TRUE
2;Acanthonyx lunulatus;TRUE
3;Actinia equina;TRUE
4;Aequipecten commutatus;FALSE
5;Aglaophenia pluma;TRUE
6;Anomocora fecunda;FALSE
7;Argyrotheca cuneata;FALSE
8;Balanophyllia (Balanophyllia) regia;FALSE
9;Callogorgia verticillata;FALSE
10;Candidella imbricata;FALSE
11;Caryophyllia (Caryophyllia) inornata;FALSE
12;Cerithium lividulum;FALSE
13;Corynactis viridis;TRUE
14;Deltocyathus eccentricus;FALSE
15;Diadema africanum;FALSE
16;Dynamene edwardsi;TRUE
17;Eucalathis tuberata;FALSE
18;Lacazella mediterranea;FALSE
19;Leptothyrella incerta;FALSE
20;Manzonia boucheti;FALSE
21;Megathiris detruncata;TRUE
22;Paludinella globularis;FALSE
23;Palythoa caribaeorum;TRUE
24;Paracyathus pulchellus;FALSE
25;Paramuricea biscaya;TRUE
26;Parvamussium fenestratum;FALSE
27;Patella candei;FALSE
28;Plumularia setacea;TRUE
29;Propeamussium lucidum;FALSE
30;Serejohyale spinidactylus;FALSE
31;Similipecten similis;FALSE
32;Sphenotrochus (Sphenotrochus) andrewianus;FALSE
33;Stenocyathus vermiformis;FALSE
34;Telmatactis cricoides;FALSE
35;Telmatactis forskalii;FALSE
36;Velella velella;TRUE
;;11
