Scientific Name
Alloeocarpa loculosa
Amathia gracilis
Amathia verticillata
Amphibalanus amphitrite
Amphibalanus eburneus
Amphibalanus improvisus
Aoroides longimerus
Aplus dorbignyi
Ascidia interrupta
Balanus trigonus
Botryllus schlosseri
Bougainvillia macloviana
Branchiomma luctuosum
Bugula neritina
Bugulina simplex
Bugulina stolonifera
Caprella scaura
Cinachyrella alloclada
Ciona intestinalis
Clavelina lepadiformis
Clavelina oblonga
Cystodytes dellechiajei
Desmacella meliorata
Distaplia corolla
Ectopleura crocea
Eudistoma angolanum
Ficopomatus enigmaticus
Hexaplex trunculus
Hiatella arctica
Hydroides elegans
Kirchenpaueria halecioides
Ligia oceanica
Lyrodus pedicellatus
Maeotias marginata
Microcosmus squamiger
Molgula plana
Mytilus edulis
Ostrea edulis
Pachycerianthus solitarius
Paracerceis sculpta
Paraleucilla magna
Percnon gibbesi
Perforatus perforatus
Perophora viridis
Phorcus sauciatus
Pinctada imbricata radiata
Polyclinum aurantium
Psiloteredo megotara
Pyura tessellata
Ruditapes decussatus
Sabella spallanzanii
Schizoporella errata
Schizoporella unicornis
Sphaeroma serratum
Spirorbis (Spirorbis) marioni
Styela clava
Styela plicata
Tricellaria inopinata
Truncatella subcylindrica
Tubularia indivisa
Virididentula dentata
Watersipora subtorquata
