Scientific Name
Abludomelita gladiosa
Abludomelita obtusata
Abra alba
Abraliopsis (Abraliopsis) morisii
Acanella arbuscula
Acanthella erecta
Acanthephyra eximia
Acanthephyra pelagica
Acanthephyra purpurea
Acanthocardia aculeata
Acanthochitona fascicularis
Acanthogorgia armata
Acanthogorgia hirsuta
Acanthonyx brevifrons
Acanthonyx lunulatus
Acartia (Acartia) danae
Acartia (Acartia) negligens
Acesta excavata
Achaeus cranchii
Achaeus gracilis
Achelia anomala
Achelia echinata
Acirsa subdecussata
Acryptolaria conferta
Acryptolaria crassicaulis
Acryptolaria longitheca
Actinia equina
Actinia mediterranea
Actinia sali
Aegapheles deshaysiana
Aegires sublaevis
Aeolidiella sanguinea
Aequipecten commutatus
Aequipecten opercularis
Aetea anguina
Aetea sica
Agauopsis brevipalpus
Aglaophenia acacia
Aglaophenia lophocarpa
Aglaophenia octodonta
Aglaophenia picardi
Aglaophenia pluma
Aglaophenia tubulifera
Aglaophenopsis cartieri
Aglaura hemistoma
Aiptasia mutabilis
Akera bullata
Albunea carabus
Alcyonium burmedju
Alcyonium glomeratum
Alcyonium maristenebrosi
Aldisa binotata
Alicia mirabilis
Alloeocarpa loculosa
Alpheopsis azorica
Alpheopsis trispinosa
Alpheus bouvieri
Alpheus dentipes
Alpheus macrocheles
Alpheus platydactylus
Alvania abstersa
Alvania angioyi
Alvania cancellata
Alvania cimicoides
Alvania formicarum
Alvania internodula
Alvania lamellata
Alvania mediolittoralis
Alvania platycephala
Alvania poucheti
Alvania sleursi
Alvania tarsodes
Amathia citrina
Amathia gracilis
Amathia lendigera
Amathia verticillata
Amigdoscalpellum rigidum
Ammonicera fischeriana
Ammonicera lignea
Ammonicera rota
Ammothella longipes
Ampelisca rubella
Amphibalanus amphitrite
Amphibalanus eburneus
Amphibalanus improvisus
Amphiglena mediterranea
Amphilochus manudens
Amphinema rugosum
Amphisbetia operculata
Amphiura chiajei
Ampithoe fastidiosa
Ampithoe ferox
Ampithoe pomboi
Ampithoe ramondi
Ampithoe rubricata
Ampullaceana balthica
Anachis avaroides
Anapagurus chiroacanthus
Anapagurus laevis
Anapagurus longispina
Anapagurus pusillus
Anatoma crispata
Anatoma janusa
Anchialina agilis
Anemonia melanaster
Anemonia sargassensis
Anomia ephippium
Anomocora fecunda
Anoplodactylus amora
Anoplodactylus angulatus
Anoplodactylus iuleus
Anoplodactylus petiolatus
Anoplodactylus virescens
Anseropoda placenta
Antedon bifida
Antennella ansini
Antennella secundaria
Antho (Acarnia) elegans
Antho (Antho) involvens
Anthohebella parasitica
Anthopleura ballii
Anthothoe affinis
Anthura gracilis
Antipathella subpinnata
Antipathella wollastoni
Antipathozoanthus macaronesicus
Aora atlantidea
Aora gracilis
Aora spinicornis
Aora typica
Aoroides longimerus
Apherusa jurinei
Aplidium appendiculatum
Aplidium bermudae
Aplus dorbignyi
Aplysia depilans
Aplysia fasciata
Aplysia parvula
Aplysia punctata
Aplysina aerophoba
Aplysiopsis formosa
Apohyale perieri
Apohyale stebbingi
Aporhynchus menezesi
Aporhynchus norvegicus
Aporhynchus pickeringae
Arbacia lixula
Arbaciella elegans
Arca noae
Arca tetragona
Arcoscalpellum michelottianum
Argissa hamatipes
Argonauta argo
Arietellus simplex
Aristaeomorpha foliacea
Aristaeopsis edwardsiana
Aristeus antennatus
Armandia polyophthalma
Asbjornsenia pygmaea
Ascidia fistulosa
Ascidia interrupta
Ascidia molguloides
Ascidia muricata
Aspidosiphon (Aspidosiphon) misakiensis
Assiminea avilai
Assiminea eliae
Astacilla cornuta
Astacilla longicornis
Astarte sulcata
Asterias rubens
Asterina gibbosa
Astropecten bispinosus
Astropecten hermatophilus
Atelecyclus undecimdentatus
Athanas nitescens
Atlanta brunnea
Atlanta peronii
Atlanta selvagensis
Pinna rudis
Auletta sycinularia
Axelosonia littoralis
Axinella infundibuliformis
Azoriella bayeri
Azorinus chamasolen
Balanus spongicola
Balanus trigonus
Balssia gasti
Barentsia discreta
Basterotia clancula
Bathothauma lyromma
Bathyamaryllis haswelli
Bathycalanus richardi
Bathymodiolus azoricus
Bathynectes maravigna
Beania hirtissima
Beania mirabilis
Bebryce mollis
Bedotella armata
Bela menkhorsti
Bela nebula
Berghia verrucicornis
Berthella plumula
Berthellina edwardsii
Bicellariella ciliata
Bittium lacteum
Bittium latreillii
Bittium nanum
Boreomysis arctica
Boreotrophon dabneyi
Borojevia cerebrum
Bosemprella incarnata
Botryllus schlosseri
Botryphallus ovummuscae
Bougainvillia macloviana
Brachycarpus biunguiculatus
Brachystomia carrozzai
Bractechlamys corallinoides
Branchiomma luctuosum
Bresilia saldanhai
Brissopsis lyrifera
Brissus unicolor
Brocchinia clenchi
Bubaris vermiculata
Bugula neritina
Bugulina simplex
Bugulina stolonifera
Bursa scrobilator
Cabestana cutacea
Caecum armoricum
Caecum clarkii
Caecum gofasi
Caecum wayae
Calanus finmarchicus
Calanus helgolandicus
Calappa granulata
Calappa tuerkayana
Calcinus tubularis
Caliphylla mediterranea
Calliopius laeviusculus
Calliostoma hirondellei
Calliostoma lividum
Calliostoma lusitanicum
Calliostoma militare
Calliostoma zizyphinum
Callipallene emaciata
Callista chione
Callochiton septemvalvis
Callogorgia verticillata
Caloria elegans
Campanularia hincksii
Campecopea hirsuta
Campecopea lusitanica
Canace nasica
Cancer bellianus
Cancer pagurus
Candacia armata
Candacia bipinnata
Candacia curta
Candacia ethiopica
Candacia simplex
Candacia varicans
Candidella imbricata
Caprella acanthifera
Caprella andreae
Caprella equilibra
Caprella linearis
Caprella penantis
Caprella scaura
Caprella stella
Carabodes willmanni
Carcinus maenas
Cardiomya costellata
Cardita calyculata
Cardita rufescens
Carpias parvus
Caryophyllia (Caryophyllia) alberti
Caryophyllia (Caryophyllia) ambrosia
Caryophyllia (Caryophyllia) calveri
Caryophyllia (Caryophyllia) cyathus
Caryophyllia (Caryophyllia) foresti
Caryophyllia (Caryophyllia) inornata
Caryophyllia (Caryophyllia) sarsiae
Caryophyllia (Caryophyllia) smithii
Caryophyllia clavus
Caryophyllia communis
Catapaguroides iris
Catapaguroides megalops
Catapaguroides microps
Cavolinia grandis
Cavolinia inflexa
Cavolinia marginata
Cavolinia tridentata
Celleporina fragilis
Centropages bradyi
