ScientificName_accepted
Acanella arbuscula
Acanthocardia tuberculata
Acanthochitona crinita
Acanthochitona fascicularis
Acanthochitona subrubicunda
Acanthogorgia armata
Acanthonyx lunulatus
Acar clathrata
Acrobelesia cooperi
Acteon monterosatoi
Actinia equina
Actinia mediterranea
Actinia nigropunctata
Actinoscyphia aurelia
Actinoscyphia saginata
Actinostella flosculifera
Actinothoe sphyrodeta
Adamsia palliata
Adamsia rondeletii
Aegina citrea
Aequipecten commutatus
Agauopsis pteropes
Aglaophenia pluma
Aglaophenia tubulifera
Aiptasia mutabilis
Aiptasiogeton hyalinus
Akera silbo
Akritogyra similis
Aldisa expleta
Alicia mirabilis
Allogramma formosa
Alvania canariensis
Alvania cancapae
Alvania cancellata
Alvania crystallina
Alvania grancanariensis
Alvania guancha
Alvania johannae
Alvania joseae
Alvania leacocki
Alvania multiquadrata
Alvania piersmai
Alvania slieringsi
Alvania subcalathus
Alvania tenera
Alvania watsoni
Ammonicera fischeriana
Ammonicera lignea
Ammonicera multistriata
Amphianthus dohrnii
Amphibalanus amphitrite
Amphionides reynaudii
Amphiute paulini
Anachis avaroides
Anadara gibbosa
Anapagurus pusillus
Anasimus latus
Anatoma aspera
Anatoma tenuis
Anatoma umbilicata
Anemonactis mazeli
Anemonia melanaster
Anemonia sargassensis
Anemonia sulcata
Anemonia viridis
Angiola lineata
Anomia ephippium
Anomocora fecunda
Anomocora prolifera
Antalis vulgaris
Anthopleura ballii
Anthopleura thallia
Anthothoe affinis
Antipathella wollastoni
Antipathes lenta
Aplus assimilis
Aplysia dactylomela
Aplysia punctata
Aplysilla sulfurea
Aplysina aerophoba
Apohyale media
Apohyale perieri
Apohyale stebbingi
Aporrhais pespelecani
Aporrhais serresiana
Arbacia lixula
Arca tetragona
Architeuthis dux
Arenotrocha lanzarotensis
Argyrotheca cuneata
Argyrotheca grandicostata
Arturia canariensis
Ascaltis reticulum
Ascobulla fragilis
Aspa marginata
Asperarca nodulosa
Astarte castanea
Asterias amurensis
Astropecten aranciacus
Atactodea striata
Athanas nitescens
Atlanta brunnea
Atlanta fragilis
Atlanta helicinoidea
Atlanta inclinata
Atlanta peronii
Atlanta selvagensis
Pinna rudis
Aulactinia verrucosa
Aurelia aurita
Auriculigerina miranda
Australomicrodeutopus haswelli
Axinella damicornis
Axiokebuita cavernicola
Azorinus chamasolen
Babelomurex tectumsinense
Balssia gasti
Barbatia barbata
Barleeia unifasciata
Basterotia clancula
Bathyarca pectunculoides
Bathylasma hirsutum
Batoteuthis skolops
Batzella inops
Bebryce mollis
Bela oceanica
Bela zonata
Berthella plumula
Bittium incile
Bittium latreillii
Bittium reticulatum
Bittium watsoni
Bolinus cornutus
Bolma rugosa
Bornia geoffroyi
Bosemprella incarnata
Botryphallus epidauricus
Botryphallus tuber
Brachidontes puniceus
Brachystomia angusta
Brachystomia carrozzai
Brachystomia eulimoides
Brachystomia scalaris
Bractechlamys corallinoides
Branchiomma luctuosum
Brissus unicolor
Brocchinia clenchi
Brunetorhynchus canariensis
Bulla mabillei
Bulla striata
Bunodactis rubripunctata
Bunodeopsis pelagica
Bunodeopsis strumosa
Bursa rhodostoma
Bursa scrobilator
Caecum armoricum
Caecum atlantidis
Caecum clarkii
Caecum elegantissimum
Caecum pollicare
Caecum searleswoodii
Caecum swinneni
Caecum vitreum
Calcinus tubularis
Calliactis parasitica
Calliostoma conulus
Calliostoma lusitanicum
Callista chione
Callistoctopus macropus
Callogorgia verticillata
Calocalanus elegans
Campecopea hirsuta
Campecopea lusitanica
Campylaspides canariensis
Campylaspis alba
Campylaspis nitens
Campylaspis spinosa
Canarium labiatum
Cancer bellianus
Candidella imbricata
Carcharodorhynchus worsaae
Carcinus aestuarii
Cardita calyculata
Caryophyllia (Caryophyllia) inornata
Caryophyllia (Caryophyllia) smithii
Cassiella abylensis
Cavolinia gibbosa
Cavolinia inflexa
Cavolinia uncinata
Celleporina fragilis
Cerastoderma edule
Cereus pedunculatus
Cerithiella insignis
Cerithiopsis barleei
Cerithiopsis diadema
Cerithiopsis minima
Cerithiopsis scalaris
Cerithiopsis tubercularis
Cerithium atratum
Cerithium litteratum
Cerithium lividulum
Cerithium vulgatum
Cervera atlantica
Cestopagurus timidus
Cetomya neaeroides
Chaceon affinis
Chalinula molitba
Chalinula nigra
Chama gryphoides
Characella connectens
Charonia lampas
Charonia variegata
Chauvetia affinis
Chauvetia brunnea
Chauvetia crassior
Chauvetia decorata
Chauvetia procerula
Cheilea equestris
Cheirodonta pallescens
Cheliplana canariensis
Cheliplana curini
Cheliplana sarnensis
Cheliplanilla cavavulcana
Cheliplanilla todaroi
Chelophyes appendiculata
Chelura terebrans
Chondrosia reniformis
Chrysallida canariensis
Chrysaora fuscescens
Chrysogorgia quadruplex
Chthamalus stellatus
Cima cylindrica
Cima minima
Cinachyrella tarentina
Cinetorhynchus rigens
Ciona intestinalis
Cirriformia filigera
Cirsonella romettensis
Cirsotrema pumiceum
Clanculus berthelotii
Clathrina clathrus
Claudrilus helgolandicus
Clausinella fasciata
Clavatula mystica
Clavatula sacerdos
Clavelina lepadiformis
Clibanarius aequabilis
Clibanarius erythropus
Clio pyramidata
Clytia hemisphaerica
Coenocyathus anthophyllites
Collocherides brychius
Colubraria canariensis
Columbella adansoni
Columbella mercatoria
Columbella rustica
Conasprella jaspidea
Condylocardia verdensis
Condylonucula bicornis
Conus aemulus
Conus ermineus
Conus fuerteventurensis
Conus guanche
Conus guinaicus
Conus hybridus
Conus proximus
Conus ventricosus
Corallimorphus ingens
Coralliophila fontanangioyae
Coralliophila kaofitorum
Coralliophila meyendorffii
Coralliophila panormitana
Corallistes typus
Corynactis viridis
Coscinasterias tenuispina
