ScientificName_accepted
Abietinaria abietina
Abralia (Asteroteuthis) veranyi
Acanthocardia aculeata
Acanthocardia echinata
Acanthocardia tuberculata
Acanthochitona fascicularis
Acanthogorgia armata
Acanthonyx brevifrons
Acartia (Acartia) negligens
Aclis latior
Aclis trilineata
Aclis vitrea
Actinia cari
Actinia equina
Actinia mediterranea
Actinia mesembryantheum
Actinia nigropunctata
Adamsia palliata
Aequipecten commutatus
Aequipecten opercularis
Agetus flaccus
Aglaophenia picardi
Aglaophenia pluma
Aglaophenia tubulifera
Aiptasia couchii
Aiptasia mutabilis
Aiptasiogeton hyalinus
Albunea carabus
Alicia mirabilis
Alvania canariensis
Alvania cancellata
Alvania crystallina
Alvania euchila
Alvania leacocki
Alvania macandrewi
Alvania moniziana
Alvania watsoni
Amaea retifera
Amathia verticillata
Amblyosyllis madeirensis
Ammonicera fischeriana
Ammonicera lignea
Ammonicera rota
Ammonicera rotundata
Amphibalanus amphitrite
Amphiglena mediterranea
Anachis avaroides
Anemonia melanaster
Anemonia sulcata
Anemonia viridis
Angiola lineata
Antedon bifida
Antho (Antho) mediterranea
Antho (Antho) paradoxa
Anthopleura ballii
Anthopleura thallia
Anthothoe affinis
Antipathella wollastoni
Antipathes fragilis
Antipathes furcata
Antipathozoanthus macaronesicus
Aplysia dactylomela
Aplysina aerophoba
Apohyale media
Apohyale perieri
Apohyale stebbingi
Arbacia lixula
Architeuthis dux
Arcopella balaustina
Asbjornsenia pygmaea
Ascobulla fragilis
Asterias amurensis
Astrea reussiana
Astrea turonensis
Astropecten aranciacus
Athanas nitescens
Atlanta brunnea
Pinna rudis
Austrominius modestus
Azorinus chamasolen
Balanus trigonus
Balssia gasti
Beania maxilladentata
Bedeva paivae
Bela nebula
Bittium incile
Bittium latreillii
Bolitaena pygmaea
Bosemprella incarnata
Botrylloides niger
Botryllus schlosseri
Botryphallus epidauricus
Botulus microporus
Bractechlamys corallinoides
Branchiomma bairdi
Bubaris vermiculata
Buffonellaria jensi
Bugula neritina
Bugulina simplex
Bugulina stolonifera
Bunodeopsis pelagica
Bursa scrobilator
Cadulus jeffreysi
Caecum armoricum
Caecum atlantidis
Caecum clarkii
Caecum elegantissimum
Caecum engli
Calliactis parasitica
Calliostoma granulatum
Calliostoma lusitanicum
Callista chione
Callyspongia (Callyspongia) burtoni
Caminus vulcani
Campanularia hincksii
Campecopea lusitanica
Cancer bellianus
Candidella imbricata
Caprella scaura
Cardiomya costellata
Cardita calyculata
Caryophyllia (Caryophyllia) abyssorum
Caryophyllia (Caryophyllia) alberti
Caryophyllia (Caryophyllia) sarsiae
Caryophyllia arcuata
Cavolinia gibbosa
Celleporaria inaudita
Cerithiopsis scalaris
Chama gryphoides
Chauvetia affinis
Chorizopora rosaria
Chthamalus stellatus
Cima cylindrica
Cima minima
Cinetorhynchus rigens
Cladocora debilis
Clanculus berthelotii
Clausocalanus arcuicornis
Clausocalanus furcatus
Clausocalanus pergens
Clavelina dellavallei
Clavelina lepadiformis
Clibanarius aequabilis
Cliona celata
Columbella adansoni
Comarmondia gracilis
Condylonucula bicornis
Copilia quadrata
Coronellina atlantica
Corycaeus clausi
Corynactis viridis
Coscinasterias tenuispina
Costulopsis buzzurroi
Cradoscrupocellaria bertholletii
Crambe crambe
Crenella pellucida
Creseis acicula
Crinophtheiros collinsi
Crisilla cristallinula
Crisilla depicta
Crisilla indispecta
Crisilla innominata
Crisilla iunoniae
Crisilla picta
Crisilla postrema
Crisilla spadix
Ctena decussata
Curveulima dautzenbergi
Cuvierina atlantica
Cylichna cylindracea
Cymodoce emarginata
Cyrillia linearis
Dardanus calidus
Dendrophyllia ramea
Desmacella annexa
Desmophyllum pertusum
Diacria trispinosa
Diadema africanum
Diadema antillarum
Didemnum perlucidum
Diodora gibberula
Diodora graeca
Diopatra madeirensis
Diopatra neapolitana
Diplodonta rotundata
Distaplia corolla
Donax venustus
Dosinia exoleta
Dynamena crisioides
Dynamene edwardsi
Ebala nitidissima
Ebala pointeli
Ebalia fragifera
Echinaster (Echinaster) sepositus
Echinocyamus macrostomus
Ectopleura crocea
Ellisella flagellum
Emarginula fissura
Emarginula paivana
Enoploteuthis anapsis
Epitonium algerianum
Epitonium clathratulum
Epitonium fischeri
Epitonium turtonis
Ervilia castanea
Eudistoma angolanum
Eulalia bilineata
Eulalia viridis
Eumida notata
Eunicella verrucosa
Euryozius bouvieri
Euterpina acutifrons
Exaiptasia diaphana
Farranula rostrata
Favosipora purpurea
Flabellum (Ulocyathus) alabastrum
Flexopecten flexuosus
Fossarus ambiguus
Fridericia bulbosa
Fungiacyathus (Fungiacyathus) fragilis
Fusceulima fulva
Gari costulata
Geodia megastrella
Gibberula hernandezi
Gibberula jansseni
Gibbula magus
Gibbula spurca
Globivenus effossa
Glycymeris pilosa
Glycymeris vanhengstumi
Gnathophyllum elegans
Goniada maculata
Gouldia minima
Granulina guancha
Graphis albida
Grapsus adscensionis
Gregariella semigranata
Gyroscala commutata
Haedropleura septangularis
Halcampoides purpureus
Haliclona (Reniera) mediterranea
Haliclona (Rhizoniera) indistincta
Haliclona (Soestella) implexa
Haliotis tuberculata
Halopteris alternata
Harmothoe areolata
Helicocranchia pfefferi
Heliconoides inflatus
Hermodice carunculata
Heteromysis (Olivemysis) dardani
Heteromysis (Olivemysis) wirtzi
Hexaplex trunculus
Hippoporella maderensis
Hippothoa muripinnata
Histioteuthis reversa
Holothuria (Platyperona) sanctori
Homologenus boucheti
Hoplangia durotrix
Ircinia oros
Ircinia polejaeffi
Irus irus
Isara cornea
Isarachnanthus maderensis
Janthina janthina
Janulum spinispiculum
Japetella diaphana
Jujubinus exasperatus
Jujubinus vexationis
Kirchenpaueria halecioides
Laevicardium crassum
Laevicardium oblongum
Lafoea dumosa
Lamellaria perspicua
Lasaea rubra
Ledella messanensis
Lepetella laterocompressa
Lepidisis cyanae
Leptaxinus incrassatus
Leptometra celtica
Leptothyrella incerta
Leucophytia bidentata
Leufroyia leufroyi
Ligia oceanica
Lima lima
Limacina bulimoides
Limacina lesueurii
Limatula gwyni
Limatula surugensis
Liocarcinus marmoreus
Lissodrillia verrillii
Littorina littorea
Littorina saxatilis
Lucinella divaricata
Lucinoma borealis
Luria lurida
Lygdamis wirtzi
Lyonsia norwegica
Lyrodus pedicellatus
Lysmata grabhami
Macrorhynchia philippina
Madeiranzonia gibbera
Madracis asperula
Magnoteuthis magna
Mangelia costata
Mangelia costulata
Mangelia stosiciana
Mangelia vauquelini
Manupecten pesfelis
Manzonia bacalladoi
Manzonia boogi
Manzonia crassa
Manzonia crispa
Manzonia madeirensis
Manzonia manzoniana
Marshallora adversa
Marthasterias glacialis
Mastigopsis hjorti
Mecynocera clausi
Megabalanus tintinnabulum
Megastomia conspicua
Megathiris detruncata
Melanella monterosatoi
Melanochlamys maderensis
Melarhaphe neritoides
Meningodora mollis
Merlia normani
Metaxia metaxa
Microcosmus squamiger
Micronereis variegata
Microsetella norvegica
Microstagon trigonum
Millepora alcicornis
Mitrella bruggeni
Moerella donacina
Monodaeus rouxi
Monophorus erythrosoma
Monoplex nicobaricus
Monoplex parthenopeus
Monostaechas quadridens
Murexsul aradasii
Muriceides lepida
Muricopsis cristata
Mycale (Carmia) senegalensis
Myrtea spinifera
Mysia undata
Mystides caeca
Nannocalanus minor
Naria spurca
Natica furva
Natica prietoi
Nemertesia antennina
Nemertesia intermedia
Nemertesia paradoxa
Neocalanus gracilis
Neocytherideis bradyi
Neolepton guanche
Neoschrammeniella bowerbankii
Notocochlis dillwynii
Obelia dichotoma
Ocenebra edwardsii
Ocenebra erinaceus
Ocinebrina aciculata
Octopus vulgaris
Odostomella doliolum
Odostomia acuta
Odostomia lukisii
Odostomia omphaloessa
Odostomia striolata
