ScientificName_accepted
Acanella arbuscula
Acanthonyx lunulatus
Actinia equina
Aequipecten commutatus
Aglaophenia pluma
Anomocora fecunda
Argyrotheca cuneata
Balanophyllia (Balanophyllia) regia
Callogorgia verticillata
Candidella imbricata
Caryophyllia (Caryophyllia) inornata
Cerithium lividulum
Corynactis viridis
Deltocyathus eccentricus
Diadema africanum
Dynamene edwardsi
Eucalathis tuberata
Lacazella mediterranea
Leptothyrella incerta
Manzonia boucheti
Megathiris detruncata
Paludinella globularis
Palythoa caribaeorum
Paracyathus pulchellus
Paramuricea biscaya
Parvamussium fenestratum
Patella candei
Plumularia setacea
Propeamussium lucidum
Serejohyale spinidactylus
Similipecten similis
Sphenotrochus (Sphenotrochus) andrewianus
Stenocyathus vermiformis
Telmatactis cricoides
Telmatactis forskalii
Velella velella
