Phylum;Species;Status;Region
Arthropoda;Abludomelita gladiosa;Native;Azores
Arthropoda;Abludomelita obtusata;Native;Azores
Mollusca;Abra alba;Native;Azores
Mollusca;Abraliopsis (Abraliopsis) morisii;Native;Azores
Cnidaria;Acanella arbuscula;Native;Azores
Porifera;Acanthella erecta;Native;Azores
Arthropoda;Acanthephyra eximia;Native;Azores
Arthropoda;Acanthephyra pelagica;Native;Azores
Arthropoda;Acanthephyra purpurea;Native;Azores
Mollusca;Acanthocardia aculeata;Native;Azores
Mollusca;Acanthochitona fascicularis;Native;Azores
Cnidaria;Acanthogorgia armata;Native;Azores
Cnidaria;Acanthogorgia hirsuta;Native;Azores
Arthropoda;Acanthonyx brevifrons;Native;Azores
Arthropoda;Acanthonyx lunulatus;Native;Azores
Arthropoda;Acartia (Acartia) danae;Native;Azores
Arthropoda;Acartia (Acartia) negligens;Native;Azores
Mollusca;Acesta excavata;Native;Azores
Arthropoda;Achaeus cranchii;Native;Azores
Arthropoda;Achaeus gracilis;Native;Azores
Arthropoda;Achelia anomala;Native;Azores
Arthropoda;Achelia echinata;Native;Azores
Mollusca;Acirsa subdecussata;Native;Azores
Cnidaria;Acryptolaria conferta;Native;Azores
Cnidaria;Acryptolaria crassicaulis;Native;Azores
Cnidaria;Acryptolaria longitheca;Native;Azores
Cnidaria;Actinia equina;Native;Azores
Cnidaria;Actinia mediterranea;Native;Azores
Cnidaria;Actinia sali;Native;Azores
Arthropoda;Aegapheles deshaysiana;Native;Azores
Mollusca;Aegires sublaevis;Native;Azores
Mollusca;Aeolidiella sanguinea;Native;Azores
Mollusca;Aequipecten commutatus;Native;Azores
Mollusca;Aequipecten opercularis;Native;Azores
Bryozoa;Aetea anguina;Native;Azores
Bryozoa;Aetea sica;Native;Azores
Arthropoda;Agauopsis brevipalpus;Native;Azores
Cnidaria;Aglaophenia acacia;Native;Azores
Cnidaria;Aglaophenia lophocarpa;Native;Azores
Cnidaria;Aglaophenia octodonta;Native;Azores
Cnidaria;Aglaophenia picardi;Native;Azores
Cnidaria;Aglaophenia pluma;Native;Azores
Cnidaria;Aglaophenia tubulifera;Native;Azores
Cnidaria;Aglaophenopsis cartieri;Native;Azores
Cnidaria;Aglaura hemistoma;Native;Azores
Cnidaria;Aiptasia mutabilis;Native;Azores
Mollusca;Akera bullata;Native;Azores
Arthropoda;Albunea carabus;Native;Azores
Cnidaria;Alcyonium burmedju;Native;Azores
Cnidaria;Alcyonium glomeratum;Native;Azores
Cnidaria;Alcyonium maristenebrosi;Native;Azores
Mollusca;Aldisa binotata;Native;Azores
Cnidaria;Alicia mirabilis;Native;Azores
Chordata;Alloeocarpa loculosa;NIS;Azores
Arthropoda;Alpheopsis azorica;Native;Azores
Arthropoda;Alpheopsis trispinosa;Native;Azores
Arthropoda;Alpheus bouvieri;Native;Azores
Arthropoda;Alpheus dentipes;Native;Azores
Arthropoda;Alpheus macrocheles;Native;Azores
